Timestamp, Longitude, Latitude
44519.71678935185,-9.12382842535122,41.72637398462762
44519.71679050926,-9.12382978503502,41.726373981098796
44519.716791666666,-9.12382978503502,41.726373981098796
44519.71679282408,-9.12382978503502,41.726373981098796
44519.71679398148,-9.12382978503502,41.726373981098796
44519.7167962963,-9.123829791375071,41.72637535204091
44519.71679745369,-9.123829791375071,41.72637535204091
44519.71679861111,-9.123829791375071,41.72637535204091
44519.71679976852,-9.123829797715112,41.72637672298299
44519.716800925926,-9.123831157398916,41.72637671945418
44519.71680208333,-9.123831157398916,41.72637671945418
44519.716803240735,-9.123829797715112,41.72637672298299
44519.71680555555,-9.123829791375071,41.72637535204091
44519.71680671296,-9.123828431691262,41.726375355569736
44519.71680787037,-9.123825705983617,41.726373991685264
44519.71680902778,-9.123824346299807,41.72637399521408
44519.71681018519,-9.123824346299807,41.72637399521408
44519.716811342594,-9.123822986616004,41.72637399874291
44519.7168136574,-9.123822986616004,41.72637399874291
44519.71681481482,-9.123824352639865,41.72637536615619
44519.71681597222,-9.123824352639865,41.72637536615619
44519.71681712962,-9.123824352639865,41.72637536615619
44519.71681828704,-9.123824352639865,41.72637536615619
44519.716820601854,-9.123824346299807,41.72637399521408
44519.716821759255,-9.123824346299807,41.72637399521408
44519.71682291667,-9.123824346299807,41.72637399521408
44519.71682407407,-9.123825705983617,41.726373991685264
44519.71682523148,-9.123825705983617,41.726373991685264
44519.71682638889,-9.123825705983617,41.726373991685264
44519.71682754629,-9.123825705983617,41.726373991685264
44519.716828703706,-9.123825699643572,41.72637262074318
44519.716829861114,-9.123827059327374,41.72637261721435
44519.71683217592,-9.123827059327374,41.72637261721435
44519.716833333325,-9.123828412671129,41.72637124274342
44519.71683449073,-9.12382977235493,41.726371239214615
44519.71683564815,-9.12382977235493,41.726371239214615
44519.71683680556,-9.12382977235493,41.726371239214615
44519.71683796296,-9.123831125698693,41.72636986474369
44519.716840277775,-9.123831132038735,41.72637123568578
44519.71684143518,-9.123831132038735,41.72637123568578
44519.71684259259,-9.123832491722533,41.72637123215695
44519.71684375,-9.123832491722533,41.72637123215695
44519.71684490741,-9.123832491722533,41.72637123215695
44519.71684606481,-9.12383385140633,41.72637122862814
44519.71684722223,-9.12383385140633,41.72637122862814
44519.71684953704,-9.123836570773932,41.72637122157049
44519.71685069444,-9.123836570773932,41.72637122157049
44519.716851851845,-9.123837930457737,41.72637121804168
44519.71685300926,-9.123839290141534,41.72637121451285
44519.716854166654,-9.123839290141534,41.72637121451285
44519.71685532408,-9.12384064982534,41.72637121098403
44519.71685763889,-9.12384064982534,41.72637121098403
44519.716858796295,-9.12384064982534,41.72637121098403
44519.716859953696,-9.12384200950914,41.72637120745522
44519.71686111111,-9.123842003169099,41.72636983651312
44519.71686226851,-9.1238433628529,41.72636983298431
44519.71686342593,-9.1238433628529,41.72636983298431
44519.71686458333,-9.1238447225367,41.72636982945549
44519.716866898154,-9.123846082220506,41.726369825926675
44519.71686805556,-9.123846075880461,41.72636845498458
44519.71686921296,-9.12384335651286,41.726368462042224
44519.716870370365,-9.123837911437613,41.7263671052154
44519.71687152777,-9.123833826046175,41.726365744859756
44519.71687268518,-9.123829740654708,41.72636438450413
44519.716875,-9.123822929555594,41.726361660264025
44519.71687847222,-9.123595627771763,41.726311524722696
44519.71687962963,-9.123592908404031,41.72631153178044
44519.71688078703,-9.123590182696175,41.72631016789603
44519.71688310185,-9.123588816672196,41.726308800482784
44519.71688425926,-9.123587456988322,41.72630880401165
44519.71688541667,-9.123587456988322,41.72630880401165
44519.71688657408,-9.123586097304448,41.7263088075405
44519.71688773148,-9.123586097304448,41.7263088075405
44519.71688888888,-9.123586097304448,41.7263088075405
44519.71689004631,-9.123586097304448,41.7263088075405
44519.71689236111,-9.123586090964336,41.726307436598404
44519.71689351852,-9.123586090964336,41.726307436598404
44519.71689467592,-9.123586090964336,41.726307436598404
44519.716895833335,-9.123586090964336,41.726307436598404
44519.716896990736,-9.123584731280461,41.726307440127265
44519.71689814815,-9.123584731280461,41.726307440127265
44519.71690046296,-9.123584731280461,41.726307440127265
44519.71690162037,-9.123584731280461,41.726307440127265
44519.71690277777,-9.123584731280461,41.726307440127265
44519.716903935194,-9.123584731280461,41.726307440127265
44519.71690509258,-9.123584737620575,41.72630881106939
44519.71690625,-9.123584737620575,41.72630881106939
44519.716908564806,-9.123584731280461,41.726307440127265
44519.71690972222,-9.123584731280461,41.726307440127265
44519.71691087962,-9.123587444308098,41.7263060621274
44519.71691203704,-9.123588797651866,41.7263046876564
44519.71691319444,-9.123590150995621,41.72630331318541
44519.716914351855,-9.123590144655516,41.72630194224328
44519.71691666666,-9.12359284500295,41.72629782235918
44519.71691782407,-9.123592838662837,41.72629645141703
44519.71691898148,-9.123594192006616,41.72629507694603
44519.71692013889,-9.123595545350385,41.72629370247507
44519.7169212963,-9.123596898694156,41.726292328004064
44519.71692245371,-9.12359688601396,41.726289586119805
44519.71692476852,-9.123598233017628,41.7262868407067
44519.71692592592,-9.123599580021322,41.7262840952936
44519.716927083326,-9.123599573681224,41.72628272435148
44519.716928240734,-9.12359956734113,41.72628135340935
44519.71692939814,-9.123600920684906,41.72627997893836
44519.71693055556,-9.123600914344816,41.726278607996235
44519.71693171296,-9.123600908004725,41.72627723705411
44519.716934027776,-9.12360224866833,41.72627312069886
44519.716935185184,-9.123602242328241,41.72627174975675
44519.71693634259,-9.123603595672037,41.72627037528578
44519.716937499994,-9.123603589331951,41.72626900434363
44519.71693865741,-9.123603582991857,41.7262676334015
